30.6001,0.0985814
30.7001,0.0984359
30.8001,0.0984301
30.9001,0.097752
31.0001,0.0977443
31.1001,0.0976843
31.2001,0.0976727
31.3001,0.0967201
31.4001,0.0967188
31.5001,0.0960487
31.6001,0.0960451
31.7001,0.0919074
31.8001,0.0919017
31.9001,0.0913001
32.0001,0.0912956
32.1001,0.0883188
32.2001,0.0883131
32.3001,0.0879256
32.4001,0.0879197
32.5001,0.0876911
32.6001,0.087683
32.7001,0.087242
32.8001,0.0872335
32.9001,0.0871797
33.0001,0.0871723
33.1001,0.0868632
33.2001,0.0868622
33.3001,0.0867202
33.4001,0.0867186
33.5001,0.0855669
33.6001,0.0855558
33.7001,0.0849117
33.8001,0.0849084
33.9001,0.0844994
34.0001,0.0844948
34.1001,0.0842472
34.2001,0.0842283
34.3,0.0840842
34.4,0.084061
34.5,0.0836749
34.6,0.0836743
34.7,0.0835375
34.8,0.0835349
34.9,0.0828055
35,0.0828005
35.1,0.0823252
35.2,0.0823247
35.3,0.0801381
35.4,0.0801318
35.5,0.079535
35.6,0.0795335
35.7,0.0791937
35.8,0.0791907
35.9,0.0786233
36,0.0786131
36.1,0.0763938
36.2,0.076388
36.3,0.0761327
36.4,0.0761205
36.5,0.0754232
36.6,0.0754187
36.7,0.0745199
36.8,0.0745117
36.9,0.0744136
37,0.0744033
37.1,0.0738104
37.2,0.0738013
37.3,0.0733833
37.4,0.0733786
37.5,0.0731549
37.6,0.0731549
37.7,0.073109
37.8,0.0730958
37.9,0.0706824
38,0.0706793
38.1,0.0703692
38.2,0.0703576
38.3,0.0694767
38.4,0.0694729
38.5,0.068995
38.6,0.0689816
38.7,0.0688656
38.8,0.0688528
38.9,0.0687312
39,0.0687293
39.1,0.0687125
39.2,0.06871
39.3,0.0685615
39.4,0.0685545
39.5,0.0683139
39.6,0.0682856
39.7,0.0678626
39.8,0.0678575
39.9,0.0660036
40,0.0660006
40.1,0.0657516
40.2,0.0657393
40.3,0.0645107
40.4,0.0644994
40.5,0.0640643
40.6,0.0640628
40.7,0.0632148
40.7999,0.0632128
40.8999,0.0622993
40.9999,0.0622989
41.0999,0.0622262
41.1999,0.0622249
41.2999,0.0620521
41.3999,0.0620499
41.4999,0.0617689
41.5999,0.0617668
41.6999,0.0611442
41.7999,0.0611421
41.8999,0.0604058
41.9999,0.0603948
42.0999,0.0600466
42.1999,0.0600338
42.2999,0.0598332
42.3999,0.0598173
42.4999,0.05884
42.5999,0.0588374
42.6999,0.0586943
42.7999,0.0586865
42.8999,0.0581281
42.9999,0.0581071
43.0999,0.0544522
43.1999,0.0544451
43.2999,0.0543765
43.3999,0.054376
43.4999,0.053581
43.5999,0.0535737
43.6999,0.0533384
43.7999,0.0533342
43.8999,0.0520436
43.9999,0.0520317
44.0999,0.0520096
44.1999,0.0520052
44.2999,0.0511105
44.3999,0.0510997
44.4999,0.0497504
44.5999,0.0497497
44.6999,0.049461
44.7999,0.0494479
44.8999,0.0492063
44.9999,0.0491984
45.0999,0.0484681
45.1999,0.0484679
45.2999,0.0475386
45.3999,0.0475346
45.4999,0.0473134
45.5999,0.0473047
45.6999,0.0470057
45.7999,0.0470051
45.8999,0.0468772
45.9999,0.0468658
46.0999,0.0463621
46.1999,0.0463559
46.2999,0.0454407
46.3999,0.0454181
46.4999,0.0446578
46.5999,0.0446468
46.6999,0.0438307
46.7999,0.04383
46.8999,0.0426226
46.9999,0.0426146
47.0999,0.0425475
47.1999,0.0425466
47.2999,0.0423288
47.3998,0.0423235
47.4998,0.0422754
47.5998,0.0422719
47.6998,0.0421121
47.7998,0.0421107
47.8998,0.0420978
47.9998,0.0420857
48.0998,0.0420523
48.1998,0.0420364
48.2998,0.0418107
48.3998,0.0418096
48.4998,0.0408038
48.5998,0.0407988
48.6998,0.0406367
48.7998,0.040628
48.8998,0.0401933
48.9998,0.04019
49.0998,0.0395709
49.1998,0.0395627
49.2998,0.0385177
49.3998,0.0385158
49.4998,0.0382837
49.5998,0.0382767
49.6998,0.0382742
49.7998,0.0382723
49.8998,0.0378935
49.9998,0.0378927
50.0998,0.0373203
50.1998,0.0373178
50.2998,0.0369136
50.3998,0.0369114
50.4998,0.0368132
50.5998,0.0368117
50.6998,0.0366582
50.7998,0.0366494
50.8998,0.0358207
50.9998,0.035816
51.0998,0.0357776
51.1998,0.0357774
51.2998,0.035358
51.3998,0.0353543
51.4998,0.0352977
51.5998,0.0352949
51.6998,0.0350069
51.7998,0.0350023
51.8998,0.0341074
51.9998,0.0341067
52.0998,0.0336385
52.1998,0.0336377
52.2998,0.0336298
52.3998,0.033617
52.4998,0.0334539
52.5998,0.0334528
52.6998,0.0332087
52.7998,0.0331991
52.8998,0.033
52.9998,0.0329951
53.0998,0.0327934
53.1998,0.0327878
53.2998,0.0326956
